symbol,market_phase,phase_confidence,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
DBRG,Accumulation,Low,Mixed,Prolonged base 15.25-15.47 | Breakout initiation ~15.47 early April | Steady markup to 15.79 | Higher lows maintained throughout markup,Early base: high volume 86.8M on 12/29 with minimal price advance (supply absorption) | Markup phase: modest volume with consistent price gains (efficient markup) | Volume expansion on breakout days confirms effort-result alignment,Massive volume spike 12/29 (86.8M) = likely SC or AR event | Volume contraction during base (2M-5M range) = spring compression | Volume expansion April onward during markup | Ultra-low volume on shallow pullbacks = no distribution pressure,Accumulation confirmed | Base formation Dec-Mar | Absorption of supply at 15.25-15.47 | No signs of distribution in current markup phase,Accumulating | Large operator absorbed supply on 12/29 spike | Controlled quiet accumulation Jan-Mar | Markup initiated April with disciplined pace | No aggressive offloading detected,"Possible SC: 12/29 (86.8M vol, low 15.25) | AR: 01/05 (high 15.45) | Secondary Test: Jan-Feb range compression | LPS: Mar lows 15.32-15.33 | SOS: Apr 7-8 breakout above 15.47 | BU: Apr 28-May 4 minor pullback to 15.54 | Continued markup: May-Jun progression to 15.79",15.25-15.47 acted as accumulation range for ~3 months | 12/29 volume anomaly (86.8M vs avg 2-5M) is structural anchor | Price holding above former resistance now support 15.47-15.55 | Gradual higher lows in markup = healthy demand | Jun rally to 15.79 represents Phase E extension | No climactic volume on highs = markup not exhausted,12/29 volume spike origin unconfirmed (could be external event) | Price range extremely narrow (~0.54 total) limits structural clarity | Low absolute volume in markup may indicate thin liquidity not true strength | Potential for minor distribution if volume surges at 15.79 resistance | No clear shakeout/spring identified reducing classic accumulation confidence
CXW,Distribution,Low,Clean,Bullish markup from 15.74 low | Accelerating uptrend June | Extended move from accumulation range 18.27-20.75,Accumulation phase: effort matched result | Markup phase: strong result on rising volume | Recent highs: volume supporting advance but spread narrowing near 30,Low volume consolidation Dec-Jan | Climactic selling Feb-20 (3.06M) | Recovery volume confirming demand | Markup acceleration May-June with expanding volume | 2.27M on June-10 breakout confirming | Volume still present at highs but watch for divergence,Clear accumulation structure 15.74-20.75 | Feb-12 shakeout (2.47M) as secondary test | Feb-20 climactic low (3.06M) as SC/ST | Recovery and re-accumulation Mar | Markup initiated mid-March | No confirmed distribution yet but price extended,Accumulated aggressively 16-19 range | Engineered shakedowns Feb-12 and Feb-20 to absorb supply | Markup campaign active from March | Currently running price into new highs | Watch for SOW or UTAD signals near 30+,SC: 2026-02-20 low 16.37 high volume 3.06M | ST: 2026-02-23 low 15.74 (final shakeout) | Spring/LPS: 2026-02-25 recovery begins | SOS: 2026-03-16 to 03-17 strong advance 1.54M-2.1M | BU/LPS: 2026-03-27 to 04-01 pullback holds | JAC: 2026-06-04 gap breakout 23.06 on 1.36M | Continued SOS: 2026-06-08 to 06-10 high volume advance | Potential UTAD risk: approaching 30 extended,15.74 is the major support anchor | Accumulation range successfully absorbed Feb supply | Markup has been clean with higher lows | June acceleration shows strong demand | Price extended 88% from SC low | Volume on June-18 (2.77M) notable at highs | Spread narrowing slightly near 29-30 zone | No clear distribution events yet confirmed,Price extended far from accumulation base | Narrowing spread on recent closes near 30 | June-18 high volume wide spread bearish watch if repeated | No pullback to test markup yet | SOW signal would be sharp reversal on high volume | UTAD risk if price spikes above 30 and reverses | Watch for low-volume advances indicating effort without result
VISN,Distribution,High,Mixed,Primary downtrend established | prior range 17.50-20.00 violated catastrophically | new range attempting 10.00-13.00,High effort selling Apr 28-30 produced extreme downside result | recovery effort moderate with diminishing spread | post-climax rallies show reduced range confirming supply absorption in progress,Climactic volume spike Apr 28-30 (20M-30M) | volume declining on rallies May-Jun confirming no institutional buying surge | volume moderate on consolidation suggesting absorption phase,DISTRIBUTION completed at 18.50-19.50 range | Markdown phase executed violently Apr 28 | possible early Accumulation Phase A-B in 10.00-13.00 zone,Distributed above 18.50 Jan-Apr | executed markdown Apr 28 gap-down halving price | now testing new lower range for potential re-accumulation or continued markdown,PSY near 19.50-19.85 Jan 12-13 | BC attempted 19.50 Apr 27 | LPSY confirmed Apr 27 close | SC climax Apr 28-29 at 9.47-10.47 | AR bounce Apr 30 to 13.22 | ST test May-Jun range 10.95-12.83 | potential Phase B Spring test May 19 at 10.955,50%+ price collapse in single session Apr 28 indicates news-driven markup reversal | price attempting to stabilize 11.00-13.00 | Jun base narrowing with higher lows forming | volume declining into consolidation positive sign | resistance cluster 12.65-13.04 being tested Jun 11-22,No confirmed SOS yet | price still below pre-crash levels by 35%+ | multiple failed rally attempts above 12.50 | redistribution possible within 11.00-13.00 range | LPS not confirmed | Apr 28 gap never filled suggesting persistent supply overhang
HTGC,Accumulation,Low,Noisy,Primary downtrend from ~19.03 to ~13.70 | Secondary base forming 13.70-15.80 range | Higher lows emerging March-April | Rally attempt stalling May-June,Massive effort on downside (Feb-Mar high volume) with diminishing result | Upside effort moderate with modest gains | Recent tight range on declining volume suggests supply absorption,Climactic selling Feb 13 (8.6M) | Secondary climax Feb 27 (10.1M) | Volume declining on rallies | Volume contracting in June range | Absorption pattern visible at lows,ACCUMULATION | Preliminary Support Jan-Feb decline | Selling Climax Feb 27 (~14.10) | Automatic Rally to ~15.50 | Secondary Test Mar 12-13 (~14.00) | Spring Mar 27 (~13.70) | Sign of Strength Apr-May rally | Last Point of Support May-June consolidation,Absorbing supply on high volume selloffs | Defending 13.70-14.00 zone | Allowing markup to ~16.50 | Current re-test of LPS zone suggests preparation for next leg,Preliminary Support: Feb 02-04 | Selling Climax: Feb 27 (10.1M vol 14.10 low) | Automatic Rally: Mar 04-05 (15.37) | Secondary Test: Mar 12-13 (14.04) | Spring: Mar 27 (13.70) | Sign of Strength: Apr 06-17 (13.70 to 16.06) | Back Up to Creek: Apr 21-23 | LPS: Apr 27-29 | Upthrust Attempt: May 06 (17.05 high rejected) | Re-test LPS: May 14-22 | Cause Building: May-June range 15.20-15.75,10.1M volume climax Feb 27 marks likely SC | Spring at 13.70 held and reversed sharply | Upthrust failure at 17.05 May 06 indicates resistance overhead | Volume contracting in June 15.20-15.75 range consistent with LPS | Price holding above Spring low confirms accumulation intent | June range narrowing suggests coiling behavior,Upthrust at 17.05 rejected sharply - overhead supply significant | Rally from Spring lost momentum quickly above 16.50 | June consolidation could be redistribution if 15.20 breaks | No confirmed SOS with high-volume wide spread breakout yet | Downtrend context from 19.03 still overarching | LPS zone needs to hold 15.20 or structure fails | Moderate volume on rallies limits markup conviction
FSK,Accumulation,Low,Mixed,Primary downtrend from 15.09 high | Lower highs and lower lows dominant | Recent range-bound compression near 10.14-11.0,High volume on 02-26 and 02-27 produced large down bars confirming selling climax | Recent high volume on 05-07 and 05-08 with limited downside suggests absorption beginning | June consolidation shows low effort with minimal result,Climactic spike 02-26 at 18.8M and 02-27 at 11.6M marks probable SC | Volume drying on rallies | Volume contracting in June range suggesting supply exhaustion,Early distribution phase Dec-Jan | Accelerated markdown Feb-Mar | Tentative absorption late April through June | No confirmed sign of strength yet,Aggressive selling from 15.09 to 10.28 | Possible quiet accumulation in 10.14-11.0 range | CO not yet showing markup intent,PSY near 14.93 Jan-02 | BC near 15.09 Jan-05 | Markdown acceleration Feb-26 | SC at 10.28 Mar-02 area | AR bounce to 11.55 May-01 | Secondary test near 10.09-10.14 Mar-Jun | ST on 06-22 at 10.14,Selling climax 02-26 with extreme volume | Automatic rally to 11.55 May-01 | Price oscillating in 10.09-11.55 trading range | Volume declining in base | June weakness retesting SC lows | Last bar 06-22 high volume 6.9M on down day is caution,No confirmed LPS or SOS yet | June 22 elevated volume on weakness may indicate another leg down | Range lower boundary not confirmed as support | Premature accumulation call risk | Could extend into Phase A still
DX,Distribution,Low,Mixed,Bearish | Lower highs from 14.93 peak | Lower lows established | Multiple failed rally attempts,High volume on down days with minimal recovery | Mar-20 climactic volume 24M with sharp drop | Rallies on declining volume | Effort not producing upside results,Climactic sell volume Mar-20 (24.3M) | Volume expansion on weakness | Volume contraction on bounces | Recent low volume drift lower confirms distribution complete,Distribution confirmed | Range established 13.72-14.93 | Markdown phase underway | No absorption evidence at current lows,Bearish positioning | CO distributed into Jan-Feb strength | Markup phase ended at 14.93 | CO now facilitating markdown | No signs of reaccumulation,PSY near 14.18 Jan-05|BC at 14.93 Jan-28|AR at 13.82 Feb-02|ST at 14.74 Jan-27|LPSY at 14.13 Feb-17|SOW Mar-20 climactic drop|ICE broken Mar-06|Failed rally Apr attempt|Secondary test failed Apr-22,Distribution range 13.82-14.93 fully developed | Mar-20 SOW on 24.3M volume confirmed breakdown | Apr rally to 13.72-14.03 classic LPSY behavior | May-Jun drift lower on weak volume | Current price 12.845 below all structural support | No climactic stopping action yet in markdown,No definitive selling climax in markdown yet | Could develop reaccumulation if absorption appears | Low volume in May-Jun could indicate exhaustion | Watch 12.24 support from Mar-23 low | Oversold conditions may produce technical bounce | Insufficient data to confirm final markdown target
KMT,Accumulation,Low,Clean,Broad topping structure from Feb 2026 highs (~41.74) | Lower highs forming since Feb 12 | Intermittent relief rallies failing at resistance | Current price near lower range of macro structure,Feb 4 gap-up on massive volume (3.8M) produced strong result initially | Subsequent high-volume bars (Mar 12: 4.5M | May 6: 3.4M | May 8: 3.2M) showed poor upside follow-through | Effort-result divergence bearish | May 6 spike to 43.81 fully reversed next session = classic UT failure,Volume expansion on downside breaks | Volume contraction on rallies | May 6-8 high-volume reversal = climactic behavior | Recent Jun volume declining on weak rallies = no demand | Elevated sell volume on May 26-Jun 1 breakdown sequence,DISTRIBUTION dominant | Jan-Feb distribution phase near highs | Mar-May markdown with failed re-accumulation | May 6 upthrust on extreme volume = classic UTAD signal | Jun structure attempting base but insufficient evidence of absorption,CO appears to be offloading | UTAD on May 6 = classic CO trap | Failed to sustain markup = selling into strength | Recent low-volume congestion may reflect CO testing demand before next markdown,PS(Preliminary Supply)=Feb 11-12 top | BC(Buying Climax)=Feb 4-6 gap zone | AR(Automatic Reaction)=Feb 13-19 | ST(Secondary Test)=Feb 24-Mar 4 | SOW(Sign of Weakness)=Mar 6 gap down | LPSY(Last Point of Supply)=Mar 11 rally failure | UTAD=May 6 spike to 43.81 | ICE break=May 27-Jun 1 | Spring attempt=Jun 2 bounce | ST after spring=Jun 3-5 weak close,,No confirmed accumulation base yet | Jun 2 bounce on volume but failed to hold above 33.56 | Price below all key resistance levels | UTAD followed by rapid full reversal = highly bearish | Multiple lower highs since Feb 12 | May 8 gap-down close near lows signals trapped longs | Thin volume on Jun rallies = no conviction | Possible further markdown toward 30-31 zone
HOG,Distribution,High,Noisy,Primary uptrend from ~17.11 (Mar 2026 low) to ~26.47 peak (Jun 2026) | Rising lows intact but momentum fading | Recent narrowing range near highs,Feb spike (9.68M vol) produced limited net gain | May 5 surge (6.45M) faded quickly | Jun 10 high-vol (4.27M) close weak 24.42 vs intraday 25.87 | Jun 18 vol spike (5.01M) on narrow close = effort without result,Volume contracting on recent rallies to new highs | Climactic spikes followed by range contraction | Jun 10 and Jun 18 anomalous volume with poor closes = warning signals | Overall volume drying up late May through mid-Jun,Early accumulation Dec 2025-Mar 2026 (base ~17-21 range) | Markup confirmed Apr-May | Possible early distribution forming Jun 2026 near 25-26.50 zone,Absorbed supply aggressively Jan-Mar lows | Drove markup Apr-May with controlled volume | Showing potential offloading behavior Jun 2026 via high-volume reversals and weak closes,SC (Selling Climax) ~Mar 2 low 17.11 | AR (Automatic Rally) ~Mar 4-6 to 19.63 | ST (Secondary Test) ~Mar 13 low 17.54 | SOS (Sign of Strength) ~Mar 24-26 breakout 19.49 | LPS (Last Point of Support) ~Mar 30 19.26 | Markup acceleration Apr 9 (22.66) and May 5 (25.11) | Potential BC (Buying Climax) Apr 21 24.68 | UTAD candidate ~May 11 26.99 high | PSY/SOW forming Jun 10 weak close | Possible UT Jun 15 26.47,17.11 was definitive structural low with volume confirmation | 26.47 is key resistance and potential distribution ceiling | Price has compressed between 24.35-25.74 for 3+ weeks = possible TR forming | Repeated failure to sustain above 26.00 | Low volume rallies post-May 11 = reduced CO interest in driving higher | Jun 22 close 24.71 below recent support = bearish near-term,No confirmed breakdown below LPS yet | Uptrend structure not fully violated | Volume contraction could indicate pause not reversal | If 24.00 holds with low vol = re-accumulation possible | Distribution confirmation requires breach of 23.00-23.50 support zone | Current data ends mid-Jun; incomplete phase confirmation
WTTR,Distribution,High,Mixed,Primary uptrend from 10.42 (Jan low) to 20.48 (May high) | ~97% advance | Current pullback from peak ~11% | Lower highs forming post-May peak,Effort increasing at highs with poor result | High volume on 2026-02-20 (9.75M) = climactic reversal | 2026-04-17 (4.3M) bearish close | 2026-04-24 (5.3M) near high with minimal follow-through | May peak volume elevated with stalling closes,Accumulation phase volume modest (450K-950K) | Markup volume expansion confirms | Climactic spike 2026-02-18 (3.3M) / 2026-02-20 (9.75M) = Buying Climax candidate | Post-climax volume contracted then re-expanded on rally | May peak area 1.9M-2.5M with diminishing price progress | June pullback volume moderate 1M-3.4M,Early phase (Dec-Jan): Accumulation complete | Mid-phase (Feb-Mar): Markup confirmed | Late phase (May-Jun): Distribution characteristics emerging | Preliminary Supply signals present | Net bias shifting to early distribution,CO completed accumulation below 11.50 | Markup phase executed Feb-May | Possible CO distribution activity at 19-20 zone | June weakness suggests CO selling into strength | Retest of breakdown zones anticipated,SC (Selling Climax) candidate: 2026-01-02 high volume reversal up | JAC (Jump Across Creek): 2026-02-06 to 2026-02-17 breakout | BC (Buying Climax): 2026-02-18 to 2026-02-20 spike and reversal | AR (Automatic Reaction): 2026-02-20 collapse to 12.51 | Secondary Test: 2026-02-24 to 2026-02-27 range | Markup continuation: Mar-May | PSY (Preliminary Supply): 2026-05-19 to 2026-05-20 near 20.18 | BC (Buying Climax): 2026-05-19 at 20.18 | AR: 2026-05-22 to 2026-05-29 drop to 17.81 | ST (Secondary Test): 2026-06-01 to 2026-06-04 partial rally | Sign of Weakness: 2026-06-05 and 2026-06-18 drops on elevated volume,Price rallied ~97% from 10.42 to 20.48 over ~5 months | Climactic action Feb 18-20 was first major warning | Recovery and continuation post-Feb climax was secondary markup | May 19-20 area shows classic PSY-BC-AR sequence | June unable to recover above 19.50 | 2026-06-18 sharp drop on 3.4M volume = potential Sign of Weakness | Price now ~18.48 well below May peak | Range 17.70-19.56 forming possible Distribution trading range | UTAD risk still present if price recovers above 20.00,No confirmed LPSY yet - distribution may still be Phase A-B | Possible UTAD above 20.00 cannot be excluded | June 22 recovery to 18.
DRH,Distribution,Low,Clean,Bullish | Higher highs and higher lows dominant | Base ~8.90-9.20 | Markup from Jan 2026 | Current level ~12.25 | ~37% gain from base,Mostly aligned | High-volume thrusts yielding price advances | Some divergence at upper range (Feb 27 wide spread high volume weak close) | May 22 high volume narrow spread potential warning,Accumulation base low volume | Markup confirmed with expanding volume on advances | Volume contracting on recent June highs | Climactic spike Feb 4 | Concerning volume dry-up at new highs June 2026,Prior Accumulation confirmed (Dec 2025 - Mar 2026) | Active Markup confirmed | Possible early distribution signals emerging at 12.25+ range | No confirmed distribution yet,Absorbed supply Dec-Mar range | Drove markup through resistance | Currently testing new high territory | Behavior consistent with controlled markup | Watch for supply introduction above 12.30,Selling Climax candidate ~8.90 Jan 2 2026 | Automatic Rally Jan 6-9 | Secondary Test Jan 20 | Sign of Strength Jan 21 high volume thrust | Last Point of Support Feb 2026 retest | Backup to creek Mar 2026 | Jump Across Creek Apr 8-10 | Continuation markup Apr-June | Potential Buying Climax watch 12.25-12.45,Strong accumulation base formed 8.90-9.30 | Multiple successful retests of support | Volume expansion on breakouts confirms CO participation | Price now 37% above base | June advance on declining volume = reduced urgency | Spread narrowing at highs | 12.25-12.45 zone = potential resistance and distribution target,Volume declining as price makes new highs June 2026 | Narrow spread at 12.25 on moderate volume | Feb 27 wide spread up-day with weak close (potential supply) | Extended from base without major correction | Watch for upthrust above 12.45 | No confirmed distribution but risk increasing above current levels
