symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags
PK,Accumulation,High,74,Mixed,Bullish Markup confirmed from late May 2026 onward | Prior range-bound structure Jan–May consistent with Accumulation schematic | Higher highs and higher lows established in markup phase,Effort/Result positive in breakout phase (May 26–Jun 26) | Large range candles with elevated volume confirming markup | Mid-period churning (Feb–Apr) showed effort without result — consistent with Phase B testing,"Volume expansion on upside breakouts (Jun 1: 9.26M, Jun 3: 8.38M, Jun 8: 7.08M, Jun 9: 7.88M) | Volume contraction during re-accumulation zones (Jan 23: 2.03M, Feb 9: 1.97M) | Jun 26 anomalous spike (30.79M) signals climactic activity — potential Buying Climax or institutional repositioning at top of markup",Accumulation phase identified Jan–May 2026 | Range: ~10.15–11.88 | Markup initiated ~May 22–26 | Distribution risk emerging at Jun 26 on climactic volume spike,"Accumulation behavior evident Jan–Apr (absorption, spring-like low Apr 7 at 10.14) | Markup orchestrated from late May | Jun 26 volume anomaly (30.79M vs avg ~4M) suggests Composite Operator activity — possible distribution initiation or major position exit","Preliminary Support (PS): ~Jan 5–6 (10.57 low, elevated vol) | Selling Climax (SC) candidate: Mar 12–13 (10.19 low, vol contraction) | Automatic Rally (AR): Jan 8–9 rebound to 11.48 | Secondary Test (ST): Mar 16–20 retesting lows | Spring candidate: Apr 7 (10.14 low, vol 4.15M) | Sign of Strength (SOS): Apr 8–10 rally on volume expansion | Last Point of Support (LPS): Apr 22–24 pullback holding above spring | Markup acceleration: May 26 – Jun 26 | Buying Climax (BC) candidate: Jun 26 (30.79M volume spike, wide spread close 14.78)",Price advanced from ~10.14 spring low (Apr 7) to 14.85 high (Jun 26) = ~46% markup | Jun 26 volume (30.79M) is ~7.5x average daily volume — extreme anomaly | Markup phase shows consistent higher lows | Breakout above 11.88 resistance on May 26 confirmed Phase C/D transition | Late-stage markup with climactic volume raises Distribution Phase A probability,"Jun 26 climactic volume (30.79M) is a major red flag — potential Buying Climax initiating Distribution | Price at 14.78–14.85 range may represent supply zone | If next sessions show narrow spread + high volume or downside reversal, Distribution Phase A confirmed | Spring at 10.14 now very distant — risk/reward for new longs unfavorable | Watch for Upthrust After Distribution (UTAD) or failed rally attempts near 14.85"
DBRG,Markup,High,74,Clean,Bullish | Base: 15.31–15.47 (Jan–Mar) | Breakout: April 8 (~15.58) | Markup: 15.58→15.80 (Apr–Jun) | Higher-lows sustained | No significant pullbacks in markup,Positive alignment | Breakout bars (Apr 7–9) show expanding price with moderate volume | Continued advance on declining volume suggests low supply rather than weak demand | Effort-result harmony intact,Declining trend overall | High volume on Jan 5 (16.6M) likely Selling Climax / Preliminary Support | Volume contracts during base | Breakout volume moderate (4.3M Apr 9) | Markup proceeds on low volume = supply exhausted | Apr 21 spike (9.2M) = possible test of demand,Accumulation completed | January-March range = Trading Range / Accumulation phase | Tight closes near range top signal absorption | Distribution not evident — price continues higher with no churning at highs,Accumulation posture confirmed | CO absorbed supply Jan–Mar in narrow range | Engineered breakout April 8 | Markup controlled — no shakeouts during advance | Possible re-accumulation pause late May (~15.64–15.71),Preliminary Support (PS): Jan 5 (16.6M high volume low) | Selling Climax (SC) candidate: Jan 5 close at 15.31 | Automatic Rally (AR): Jan 23–26 push to 15.47–15.49 | Secondary Test (ST): Multiple tests 15.33–15.35 (Mar 18–20) | Sign of Strength (SOS): Apr 8 breakout bar (15.47→15.58) | Back-Up Action (BUA): Apr 28–May 4 pullback to 15.54–15.56 | Minor Re-accumulation: May 29–Jun 5 consolidation 15.64–15.67 | Last Point of Support (LPS): Jun 5–8 base at 15.66 | Continued Markup: Jun 26 high 15.80,15.31 = structural low / support anchor | 15.47–15.49 = resistance of trading range (now support) | 15.58 = breakout level — held on BUA | 15.80 = current high / potential near-term resistance | Volume declining on advance = hallmark of low-supply markup | Apr 21 volume spike (9.2M) at 15.61 absorbed without reversal = demand present | Incremental new highs with tight daily ranges = controlled distribution-free advance,Extremely narrow absolute price range (~0.50 pts total) limits Wyckoff structure resolution | Volume generally low — reduces signal reliability | Apr 21 volume anomaly (9.2M) needs monitoring for potential distribution signal | Jun 22 volume pickup (5.1M) on wide range bar — watch for SOS confirmation or potential SOW | Markup velocity slowing (Jun consolidation) — possible Phase D re-accumulation or early distribution setup forming | No clear UTAD or LPSY visible yet but proximity to new highs warrants vigilance
UE,Accumulation,High,72,Mixed,Primary uptrend intact from Jan lows (~18.50) to current (~23.40) | Intermediate re-accumulation range ~20.00–22.00 (Feb–May) | Breakout above 22.00–22.50 resistance confirmed in June | Higher highs and higher lows maintained,"Breakout candles (Jun 9–11) show expanding price on moderate-high volume = effort confirmed by result | Jun 18 pullback on elevated volume (1.88M) absorbed near 22.27 = successful test | Jun 24–26 surge on extreme volume (2.07M, 3.45M) = strong demand signal","Volume contracted during Feb–May consolidation (classic re-accumulation behavior) | Volume expanded on upside breakouts (Feb 3, Apr 16, Jun 9, Jun 24, Jun 26) | Pullback volume generally lower than rally volume = bullish | Jun 26 spike (3.45M) = climactic or continuation — monitoring needed",Net accumulation evident throughout dataset | Jan base = primary accumulation | Feb–May range = re-accumulation | Jun breakout = markup confirmation | No sustained distribution signals identified,Appears to be absorbing supply during pullbacks and marking up on reduced float | Jun 15–18 shakeout (22.27 low on high volume) consistent with last point of support (LPS) test before continuation,"SC/AR: Jan 5–6 (~18.50 low, bounce to 19.04) | ST/Spring candidate: Jan 14 (18.495 low) | SOS: Feb 3–6 (sharp rally 19.58→21.03 on heavy volume) | Re-accumulation range: Feb–May (~20.00–22.00) | LPS: Jun 18 (22.27 on 1.88M volume) | SOS breakout: Jun 9 (23.63 close) | Continuation markup: Jun 24–26 (23.23–23.40)",18.50 area served as strong base support | 22.00–22.50 acted as key resistance now flipped support | Jun 26 extreme volume (3.45M vs avg ~900K) requires close monitoring for potential buying climax | Price progression orderly with minimal whipsaw in markup phase | Shrinking volume during May consolidation (372K–714K) = classic no-supply condition,Jun 26 volume spike (3.45M) may signal short-term buying climax risk | Jun 15–17 pullback showed relative weakness needing monitoring | Extended rally from 18.50→23.40 (~27%) without major correction = overbought risk short-term | Narrow range on Jun 25–26 after high volume = potential absorption or stall signal | Confirmation of continuation requires holding above 22.50–23.00 on any pullback
BXMT,Transitional,Low,52,Mixed,Bearish | Price declining from ~20.43 peak (Apr-16) to ~17.11 low (Jun-24/25) | Series of lower highs and lower lows post-April,"Negative divergence | High volume on down bars (Mar-20: 3.99M, Apr-29: 4.34M, Jun-18: 3.35M, Jun-24: 3.06M, Jun-26: 4.18M) producing significant downside results | Upside rallies thin and unconvincing","Distribution-consistent | Climactic selling volume on Jun-24 and Jun-26 may signal exhaustion | Volume expands on weakness, contracts on rallies | No clear absorption pattern yet confirmed",Distribution bias dominant | Jan-Feb rally to 20.35 failed to sustain | Systematic price erosion from Apr peak | Late-stage possible Selling Climax (SC) candidate at Jun-24/25/26 lows,Appears to be distributing or exiting | No strong evidence of absorption at current lows yet | Jun-26 high volume wide-range down bar is ambiguous — could be SC or continuation,Preliminary Supply (PSY): ~Feb-11 at 20.35 | Buying Climax (BC) candidate: Apr-16 at 20.43 | Automatic Reaction (AR): Apr-29 drop to 18.75 | Secondary Test (ST): May area 19.00–19.30 | Sign of Weakness (SOW): Jun-17/18 break | Ice break: Jun-24 below 17.82 | Potential Selling Climax (SC): Jun-24–26 on extreme volume,Price peaked ~20.43 on Apr-16 with expanding volume | Apr-29 saw 4.34M volume collapse — major SOW | May–Jun structure shows stair-step decline | Jun-24 break of 17.82 on 3.06M and Jun-26 close 17.43 on 4.18M are climactic | Range: approximately 17.11–20.43 | No confirmed upthrust-after-distribution (UTAD) present | Current price near multi-month lows,Jun-26 4.18M volume spike could be SC or capitulation — not yet confirmed as bottom | No Automatic Rally (AR) off lows yet to confirm SC | Price may continue lower if support fails at 17.10 | Short dataset limits full Wyckoff schematic confirmation | Ambiguity between late-stage markdown continuation vs. Phase C spring setup
ASH,Accumulation,Low,47,Mixed,Macro downtrend from Jan high (~65) → Mar low (~48.19) | Partial recovery attempt April–June | Final bar (Jun 26) high volume wide-range down bar — bearish signal,Feb 3–4 large effort up — partial result | Apr 29 climactic effort down on extreme volume (2.69M) — selling climax candidate | Jun 9 explosive markup on 2.55M volume — strong effort with result | Jun 26 high effort (7.12M) with down close — effort vs result bearish divergence,Jan–Feb: declining volume on rallies — distribution | Mar: expanding volume on decline — weakness confirmed | Apr 29: volume spike (2.69M) — potential selling climax (SC) | May–Jun: rising volume on advance — demand returning | Jun 26: extreme volume (7.12M) spike on down close — upthrust/supply shock warning,Primary range: accumulation attempt from Mar lows (~48–50) | Partial re-markup into 65–68 zone | Jun 26 extreme volume selloff challenges accumulation thesis — possible secondary test or distribution onset,Absorbed selling Apr 29 SC | Engineered markup through May–Jun | Jun 26 action suggests possible CO distribution or shakeout — ambiguous intent,Preliminary Support (PS): Mar 16 ~50.03 | Selling Climax (SC): Apr 29 ~48.23 low / 2.69M vol | Automatic Rally (AR): Apr 30 ~53.49 | Secondary Test (ST): May 1–8 range ~51–55 | Sign of Strength (SOS): Jun 9 breakout ~62.50 / 2.55M vol | Upthrust/UTAD candidate: Jun 18 ~67.97 high | Possible Sign of Weakness (SOW): Jun 26 ~7.12M volume down close ~63.94,1. Apr 29 SC + Vol spike = credible accumulation base | 2. Jun 9 SOS breakout confirmed demand | 3. Jun 18 high at 67.97 near Jan distribution highs — supply zone confluence | 4. Jun 26 extreme volume (highest in dataset) with bearish close = critical warning | 5. Price failed to hold above 65 — resistance unresolved | 6. Range 48–68 defines full Wyckoff structure boundary,"Jun 26 volume (7.12M) is anomalous — possible block distribution or news event | Failure to hold above 65 suggests supply dominance at highs | Multiple failed rally attempts in Jan–Feb range indicate persistent overhead supply | Phase confirmation requires price to hold above 63–64 support zone | If Jun 26 triggers follow-through selling below 62, re-accumulation thesis invalidated"
AKR,Accumulation,High,62,Clean,Broad lateral range ~18.75–22.58 | Primary downtrend Jan–Mar 2026 (21.20→18.75) | Recovery and re-accumulation Mar–May | Markup attempt May–Jun stalling near 22.50 resistance | Lower highs forming post-Jun 9 suggest supply overhead,"Feb 11 spike to 22.36 (wide spread) closes 20.54 — massive effort, poor bullish result (Sign of Supply/UT) | Jun 10 massive volume (6.7M) on wide down bar 21.68→21.40 — significant supply entering | Jun 24/26 elevated volume on narrow closes — effort not producing sustained upside; supply absorption ongoing","Volume expansions on down bars (Feb 11, Jun 10, Jun 17–18) indicate supply pressure | Volume contractions on up bars (Feb 25, Mar 10–11, Apr 16) suggest weak demand at times | Recovery rallies Apr–May show moderate volume — not climactic buying | Jun 24/26 high volume narrow bars suggest testing/absorption",Net Re-Accumulation bias | Shakeout lows Mar 27–31 (~18.75–18.89) represent Spring/potential SC zone | Recovery from 18.75 to 22.58 shows composite operator absorption | Distribution signals emerging at upper range (22.40–22.58) — possible UTAD or range top,Absorbed supply in 18.75–20.00 zone (Mar–Apr) | Tested supply at 22.36 (Feb 11 UT failed) | Built cause through lateral range Jan–Jun | Currently testing upper resistance 21.70–22.58 with mixed signals — unclear if markup will sustain or distribution begins,Preliminary Support (PS): ~Jan 27–28 (~19.53) | Selling Climax (SC): Mar 27 (18.75) | Automatic Rally (AR): Apr 7–17 (~20.00→21.76) | Secondary Test (ST): Mar 30–Apr 2 (18.83–19.09) | Sign of Weakness (SOW)/Upthrust: Feb 11 (22.36 close 20.54) | Spring Retest: Mar 23–26 (19.11–19.42) | Sign of Strength (SOS): Apr 7–17 rally | Last Point of Support (LPS): Apr 22–24 (~20.65–20.91) | Upthrust After Distribution (UTAD) candidate: Jun 9 (22.90 intraday) | Secondary Test of UTAD: Jun 10 high volume selloff,Range established: 18.75 (low) – 22.90 (high) | Critical resistance zone: 22.35–22.58 | Critical support zone: 20.65–21.00 | Feb 11 failed spike is defining supply event | Jun 10 volume spike (6.7M — 5x avg) is most significant recent event indicating supply | Post-Jun 10 price holding 21.13–21.97 suggests absorption but not resolved | Jun 24/26 high-volume narrow bars at resistance confirm supply overhead,Jun 10 extreme volume (6.7M) on down bar may signal distribution beginning | Multiple
VISN,Accumulation,High,62,Mixed,"Prior uptrend (Jan–Apr 27, ~18–19.5 range) → Climactic break (Apr 28 gap ~50% collapse) → Descending base formation (May–Jun, 10.95–13.04) → Early upthrust attempts with tentative higher lows","Pre-crash: rising prices on moderate volume (weak effort-to-result, distribution signal) | Crash: extreme volume on massive spread (climactic selling confirmed) | Post-crash: elevated volume with narrowing spread (absorption) | May–Jun recovery: modest volume with improving closes (constructive effort-to-result)",Apr 28–30: Selling Climax (SC) volume 20.5M–30.1M | May: elevated but declining volume on sideways/slight downtrend (secondary test behavior) | Late May–Jun: declining volume on rallies (normal re-accumulation) | Jun 18 & 26: elevated volume on narrow spreads (potential testing/re-distribution warning),Accumulation — post-SC base building evident; range ~10.95–13.04; price holding above SC lows; Automatic Rally (AR) to ~13.22 (Apr 30); Secondary Test (ST) lows ~10.955 (May 19); subsequent higher lows constructive,Absorbing supply post-climax; testing demand with low-volume pullbacks; cautious — no confirmed markup initiation; possible re-distribution if 13.04 resistance fails,"Preliminary Supply (PSY): Jan 12–13 (~19.85) | Buying Climax (BC): Apr 27 (~19.675) | Sign of Weakness (SOW)/Gap Collapse: Apr 28 (~50% gap down, 20.5M vol) | Selling Climax (SC): Apr 28–29 (9.47–10.83 range) | Automatic Rally (AR): Apr 30 (13.22 high) | Secondary Test (ST): May 19 (10.955 low) | Creek/Resistance: ~12.50–12.83 zone | Last Point of Support (LPS) candidates: May 20–21 (~11.19–11.46) | Sign of Strength (SOS) attempt: Jun 11–15 (12.65–13.04)",Catastrophic Apr 28 event (likely corporate action or halt-related — price halved overnight) defines entire post-event context | SC + AR + ST sequence cleanly formed | Price now testing upper creek resistance (~12.65–13.04) | Jun 15 high 13.039 rejected; subsequent consolidation ~12.50–12.88 | Volume declining into resistance (Jun 16–17) then spiking on Jun 18 & 26 narrow spreads — ambiguous | Higher lows since May 19 support accumulation bias | Structure remains below AR high (13.22) — no confirmed SOS breakout,"Apr 28 gap nature unclear (reverse split, halt, news) — may distort Wyckoff volume interpretation | Jun 18 volume spike (8M) on narrow spread near resistance — possible hidden supply | Jun 26 volume spike (9.8M) on narrow spread — selling pressure re-emerging | No confirmed LPS with strong SOS breakout above 13.22 AR"
DX,Accumulation,Low,42,Mixed,Primary downtrend from Jan high (~14.93) to March low (~12.24) | Partial recovery to ~14.03 (Apr) | Secondary decline resuming May-Jun | Lower highs dominant | No confirmed uptrend restoration,"Effort without result on Mar-20 spike (24.3M vol, close 12.39) suggesting supply absorption but price failed to rally meaningfully | Apr-20 (10.9M vol, close 13.72) showed better result — possible SOS | Jun volume diminishing on sideways action — inconclusive","Elevated volume on down legs (Jan-30, Mar-9, Mar-13, Mar-20) = distribution/markdown pressure | Declining volume during Apr-May recovery = weak demand | Jun volume low and directionless | No sustained volume expansion on rallies",Leaning DISTRIBUTION on higher timeframe (Jan–Mar) | Possible minor re-accumulation base forming Mar-Jun (12.24–13.24 range) | Too early to confirm | Structure lacks SOS with follow-through,Appears to be distributing inventory on rallies | Apr bounce used to offload near 13.70–14.03 resistance | Allowing controlled markdown | May-Jun behavior suggests testing demand at lows before decision,Possible PSY/BC: Jan-28 high 14.93 | UTAD candidate: Jan-28 | Sign of Weakness (SOW): Jan-30 wide spread down on volume | AR low: ~12.24 Mar-23 | Possible ST in markdown: Apr rally to 14.03 | Secondary Test: May-Jun lateral range 12.72–13.14 | No confirmed Spring or LPS yet,Jan trading range (13.87–14.93) acted as distribution zone | Sharp markdown Mar confirmed supply control | Apr-20 high-volume reversal day most significant bullish event | May-Jun narrowing range with declining volume = potential coiling | Current price (~13.14) sits mid-range between Mar low and Jan high | No breakout confirmation in either direction,No confirmed Spring event | Apr recovery stalled well below Jan highs — bearish | May renewed selling pressure below 13.00 suggests re-test of lows possible | Jun lateral chop unresolved — could break either way | Low confidence in accumulation thesis without volume expansion on up-bars | Phase classification may shift to Phase C markdown re-test pending next directional move
IVT,Accumulation,High,74,Mixed,Bullish | Series of higher lows from late Jan base (~27.75) | Range resistance ~32.90–33.50 decisively broken | Accelerating markup phase underway,Bullish confirmation | Jan–May consolidation showed low-volume pullbacks and higher-volume advances | June 8 breakout: volume 2.7M vs avg ~450K = massive effort producing commensurate upside result | June 18 anomalous volume 12.08M on narrow range suggests institutional repositioning or news event,Accumulation-consistent through range | Volume contracted on pullbacks (Jan 12–16 low ~253K | Mar 26 ~306K) | Volume expanded on upthrusts and advances | June 8–12 sustained high volume on breakout confirms absorption complete | June 18 spike (12M) aberrant — likely event-driven institutional activity,Accumulation confirmed | Base built ~27.75–33.50 over ~5 months | Composite Operator absorbed supply through multiple tests | Last Point of Support (LPS) identified ~May 8–15 (~31.25–31.35) | Spring characteristics visible Jan 28 (~28.51 low) recovering quickly,Accumulative bias confirmed | Controlled markup post-range | Orderly absorption of selling throughout base | Accelerated buying June 8 onward suggests institutional commitment to markup phase,"Preliminary Support (PS): ~Jan 5–6 (~27.75) | Selling Climax (SC): ~Jan 9 (high vol reversal 29.25→28.45) | Automatic Rally (AR): ~Jan 21 (29.37) | Secondary Test (ST): ~Jan 27–28 (~28.51) | Spring candidate: ~Jan 28 (28.51 intraday) | Test of Spring: ~Feb 3–4 upside follow-through | LPS: ~May 8–15 (~31.25–31.35) | Sign of Strength (SOS): ~Jun 8 (breakout 34.28, vol 2.7M) | Backup to creek/channel: ~Jun 15–18 (34.20–34.62) | Continued markup: Jun 22–26 (35.88–36.17)",Five-month accumulation range cleanly defined ~27.75–33.50 | Breakout June 8 on 6x average volume is definitive SOS | Post-breakout pullback June 15–18 held above prior resistance (now support ~34.20) — classic Back-Up Action (BUA) | Recovery from BUA into new highs (36.17) confirms supply exhausted | June 18 volume anomaly (12M) warrants monitoring — could represent large block repositioning or news catalyst | Price trajectory accelerating — markup phase healthy,June 18 volume spike (12.08M) is 27x average and disproportionate to price range (~34.22–34.49) — unresolved event risk | Rapid price appreciation from 27.75 to 36.17 (+30%) may invite distribution testing near-term | No clear upside price target established without broader context | Markup velocity increasing — watch for climactic action or Buying Climax (BC) signals above 36–37 zone
SBLK,Distribution,High,74,Mixed,Bearish | Price failed to sustain above 27.00 resistance zone | Lower highs forming from 28.28 peak (2026-05-21) | Support at 25.25–25.33 cracking on 2026-06-26,Bearish divergence dominant | High volume on 2026-06-24 (2.69M) with sharp close at 25.67 = effort confirming supply | 2026-05-21 spike (3.21M) failed to hold gains = upthrust/UTAD behavior | 2026-02-25 to 2026-02-27 volume surge produced diminishing advances,"Distribution-consistent | Volume expanding on down bars late-cycle | Diminishing volume on rallies (June bounces low-volume) | Supply surges on 2026-06-24, 2026-06-18, 2026-06-26 | Demand drying up above 27.00","DISTRIBUTION | UTAD candidate: 2026-05-21 (28.28 high, high vol, failed close) | SOW confirmed: 2026-06-24 to 2026-06-26 breakdown below trading range | No re-accumulation signs visible",Distributing | CO absorbed retail buying into the 27–28 zone | Manufactured UTAD on 2026-05-21 to trap longs | Now withdrawing bids — markdown phase active,"PSY(Preliminary Supply): ~2026-03-02 (27.20 high, elevated vol) | BC(Buying Climax): 2026-05-21 (28.28, 3.21M vol, failed close) | AR(Automatic Reaction): 2026-05-22 to 2026-05-29 pullback | UT/UTAD: 2026-06-01 (28.50 intraday spike, closed 28.21, faded) | SOW(Sign of Weakness): 2026-06-18 (25.81 close, 2.15M vol) | LPSY(Last Point of Supply): 2026-06-22–2026-06-23 weak rally to 26.98 | Markdown confirmation: 2026-06-24 to 2026-06-26 breakdown",Distribution range: approximately 25.80–28.50 | Range midpoint ~27.15 now acting as resistance | Price broke below 25.80 support on 2026-06-26 (close 24.40) | 2026-06-26 (1.69M vol) with wide spread down = markdown accelerating | Prior accumulation base (Jan 2026 ~19.50) represents longer-term potential downside target zone | Multiple failed rally attempts from 26.50–27.00 zone confirm supply overhead | Declining volume on bounces = no institutional support,Distribution range not extremely wide — could be consolidation before another leg up if 27.50 recaptured with volume | 2026-06-26 close at 24.40 near short-term support; watch for potential spring/test near 24.00 | Low-volume days (Apr 2026) suggest possible re-accumulation was occurring — phase may be less mature than it appears | UTAD on 2026-06-01 at
