symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,composite_operator,structural_events,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
SFL,Accumulation,High,72,Mixed,Primary uptrend from 9.13 low | Stepped markup with consolidation ranges | Higher lows maintained post-shakeout | Current structure near upper boundary of extended range,"Feb–Mar: strong effort yielding range expansion (accumulation effort rewarded) | May 12 spike: high volume markup (climactic effort, result contained — possible BC/UT) | Jun 26 shakeout: extreme volume (6.04M) on sharp drop — classic Spring/shakeout effort | Jul–Aug recovery: moderate volume producing higher prices — healthy markup",Feb 11 (5.76M): high-volume entry bar — potential SC or aggressive accumulation | Mar 12 (2.48M): elevated on break lower — secondary test behavior | May 12 (2.71M): climactic spike bar — Buying Climax signal | Jun 26 (6.04M): dominant volume spike on breakdown — Shakeout/Spring | Jul 23 (2.75M): strong markup bar confirming re-accumulation breakout | Recent volume tapering on rising prices — constructive,Net Accumulation | No confirmed distribution structure | Composite Operator absorbing supply across multiple ranges | Shakeouts serving to reset weak hands before markup phases,"Accumulating | Demonstrated through low-volume tests holding higher lows | Engineered shakeouts (Mar 12, Jun 26) followed by controlled markup | Absorption visible on wide spread down-bars with recoveries","SC (Selling Climax): ~2026-02-11 (9.13 low, 5.76M vol) | AR (Automatic Rally): 2026-02-11 to 2026-02-13 | ST (Secondary Test): 2026-03-12 to 2026-03-13 (9.96/9.88) | BC (Buying Climax)/UT (Upthrust): 2026-05-12 (12.90 high, 2.71M) | LPSY/Distribution attempt: 2026-05-21 to 2026-05-22 | Shakeout/Spring: 2026-06-26 (10.21 low, 6.04M) | LPS (Last Point of Support): 2026-06-30 (10.07 low) | SOS (Sign of Strength): 2026-07-06 to 2026-07-08 | BU (Back-Up): 2026-07-09 to 2026-07-17 | Markup resumed: 2026-07-23 breakout (2.75M) | Current: Phase E markup — 12.14–12.38 zone",Jun 26 volume (6.04M) is the dominant structural event — ~4x average daily volume on a shakeout bar with recovery | This is the defining Spring of the entire structure | Jul 23 breakout on 2.75M confirms re-accumulation completion | Price progression from 9.13 to 12.38 = ~35% advance from SC low | Tapering volume on recent highs (Aug 3–4) warrants monitoring for potential minor consolidation | Range support now established ~11.90–12.00,Aug 4 volume (329K) extremely low — possible holiday/data truncation or liquidity concern |,29,11,1,6,1
PBI,Accumulation,High,62,Mixed,Primary uptrend established from ~10.14 (Mar 2026) lows to ~18.77 highs (Jul 2026) | Current structure shows distribution-like behavior near highs | Lower highs forming post-18.77 peak | Support zone ~17.50–17.83 being tested,Feb–Mar low volume with narrow ranges = effort without result (absorption) | Apr 17–22 spike (4.9M–9.8M vol) = high effort with strong result (Markup initiation) | Jun 18 (8M vol) and Jun 26 (8.3M vol) = climactic effort near highs with diminishing upside result | Jul 30 (3.4M) wide range bar = renewed effort unclear in direction | Aug volume collapsing = reduced participation,Volume expansion on Apr 17–22 breakout = Composite Operator buying | Volume climax Jun 18 + Jun 26 = potential Buying Climax (BC) or Secondary Test zone | Volume contraction post-Jul 20 (~890K–1.6M) = low-volume drift near highs = weak demand or distribution under cover | Aug 4 volume collapse (689K) = drying up of demand or supply exhaustion,"Feb–Mar phase: Accumulation (10.01–10.35 range, absorption on declining volume) | Apr–Jun phase: Markup into potential Distribution range | Jun–Aug phase: Possible early Distribution or Re-accumulation within 17.50–18.77 range",Feb–Mar: CO absorbing supply quietly in narrow range | Apr 17–22: CO initiating markup aggressively | Jun 18–26: CO potentially offloading into strength on high volume spikes | Jul–Aug: CO behavior ambiguous — low volume drift suggests either re-accumulation pause or passive distribution,"Selling Climax (SC): ~Mar 18 (9.79 low, 4.4M vol) | Automatic Rally (AR): ~Mar 23–27 bounce to 10.91 | Secondary Test (ST): ~Mar 19 (9.69 intraday) | Sign of Strength (SOS): Apr 17–22 breakout (10→15+, high volume) | Last Point of Support (LPS): ~Apr 6–9 (11.00–11.05 area) | Buying Climax (BC) candidate: Jun 26 (18.12 high, 8.3M vol) | Automatic Reaction (AR): Jul 2 drop to 16.59 | Secondary Test in Distribution (STD): Jul 9–10 rally to 18.33–18.62 | Upthrust After Distribution (UTAD) candidate: Jul 15–17 (18.51–18.63 area, low volume) | Sign of Weakness (SOW) candidate: Jul 31 (16.95 low, 3M vol drop)","Strong markup phase Apr–Jun is well-defined and high-confidence | Jun 26 high-volume reversal bar (open 17.52, close 18.12, 8.3M) is a critical pivot — wide spread up but potential exhaustion | Post-Jun 26 structure shows failure to sustain above 18.50 consistently | Volume drying up near highs (Jul 20–28: sub-1.1M range) = classic UTAD",,29,10,0,4,2
DRH,Accumulation,High,81,Clean,Bullish | Higher lows established from March 2026 lows (~9.19) | Higher highs confirmed through July–August 2026 (~13.79) | Orderly stair-step advance,"Mostly harmonious | High-volume thrusts (Feb 26, May 1, May 21–22, Jun 26, Jul 31, Aug 3) produce meaningful upward price progress | Minor effort-result divergence on Jul 30 (wide spread, closes mid-range on elevated volume)","Accumulation-phase volume: elevated on tests and springs (Feb 13, Mar 9, Mar 20) | Markup-phase volume: expanding on upside breakouts | Jun 26 volume spike (7.35M) notable — potential climactic or institutional participation | Aug 3 highest volume (5.9M) on strong close — demand present | Recent Aug 4 volume normalization suggesting pause",Accumulation completed Feb–Apr 2026 (base range ~9.19–10.08) | Distribution not yet confirmed | Late-stage markup characteristics present above 12.50 — monitoring required,Accumulative through Q1 2026 | Aggressively marking up from April 2026 | Current behavior consistent with CO distributing in stages or continuing markup — inconclusive at Aug 4,"Selling Climax (SC): Feb 12–13 (high volume, sharp drop, recovery) | Automatic Rally (AR): Feb 17–26 (rally to 10.34) | Secondary Test (ST): Mar 9 (~9.20 low) | Spring: Mar 20 (9.19 intraday low, lowest point, volume elevated) | Sign of Strength (SOS): Apr 8–9 (strong rally, volume expansion) | Last Point of Support (LPS): Apr 22–24 (pullback holds above 10.06) | Markup acceleration: May–June 2026 | Potential Buying Climax (BC) watch: Jul 31–Aug 3 (highest volume, extended range)",Full Wyckoff accumulation schematic identifiable Feb–Apr 2026 | Spring at 9.19 (Mar 20) was definitive low | Markup phase clean and sustained over 4 months | Price advanced ~50% from Spring low (9.19) to Aug 3 high (13.79) | Volume climax on Aug 3 (5.9M) warrants caution — potential exhaustion signal | Jul 31–Aug 3 range expansion on heavy volume may represent Buying Climax entering new distribution phase,"Potential Buying Climax forming Jul 31–Aug 3 (high volume + extended price range) | Aug 4 narrow range + lower close on still-elevated volume — possible Automatic Reaction setup | If price fails to hold above 13.00, early distribution (Phase A of new range) may be initiating | Jul 30 reversal bar (opens 13.22, closes 12.91 on 2.56M) — intraday rejection | No confirmed distribution structure yet but risk/reward shifting at current levels",28,8,5,6,3
YPF,Accumulation,High,74,Clean,Bearish Deterioration | Higher-lows structure broken | LPS attempts failing | SOW bars present (Jun-15 to Jun-24) | Dead-cat bounces on declining volume (Jul recovery) | Lower-highs forming from 57.49 peak,Negative Divergence | High volume on down bars (Jun-15/16/24) | Low volume on up bars (Jul rally) | Effort-up failing to produce proportional result | Aug weakness on low volume = lack of demand not lack of supply,Bearish | Climactic volume at markup highs (Mar-19: 7.9M | Mar-27: 6.3M | May-18: 5.8M) | Distribution confirmed by volume expansion on drops | Jul–Aug rally on declining volume = weak hands buying | No institutional absorption visible on lows yet,DISTRIBUTION CONFIRMED | Range: ~47–57 | UTAD: Jun-11 (57.49 high) | SOW: Jun-15 breakdown below range | Failed rally back into range Jun-29 to Jul-22 | Current price ~49–52 = inside prior distribution base,DISTRIBUTING | CO offloaded into Mar–May markup | Used Jun-11 UTAD spike to exit residual longs | Now allowing price to erode | Jul bounce used to distribute remaining inventory to retail buyers chasing recovery,"Selling Climax (SC): Feb-27 (3.1M vol, wide spread down) | Automatic Rally (AR): Mar-5 to Mar-11 | Secondary Test (ST): Mar-13/16 | Sign of Strength (SOS): Mar-18/19 breakout | Last Point of Supply (LPSY): Apr-1 | Buying Climax (BC): Jun-11 (57.49) | Automatic Reaction (AR-Dist): Jun-15/16 | UTAD Retest Fail: Jun-22 to Jun-24 | Sign of Weakness (SOW): Jun-24 (45.40 low) | Back-Up (BU): Jul rally to 52.69 | LPSY: Jul-22/23 area",Accumulation (Feb–Mar) was textbook with SC/AR/ST/SOS sequence | Markup was strong but showed supply entering Mar-31/Apr-1 | Distribution range established May–Jun with shrinking spreads | UTAD on Jun-11 classic CO trap | Post-UTAD breakdown accelerated (Jun-15 to Jun-24: -9.87 pts in 8 days) | Jul recovery low-volume = no institutional re-accumulation | Aug-3/4 showing renewed weakness with narrow spreads = no demand | Price ~49–50 approaching prior distribution floor,Jul rally to 52.69 could be interpreted as re-accumulation if volume expands on next advance | No confirmed secondary test of lows yet — Phase D may extend | Thin Aug volume (828K / 274K) reduces signal reliability | If price holds 49–50 with volume expansion upward = scenario invalidation | Watch for climactic selling on high volume as potential Phase E completion or new accumulation trigger,28,11,5,8,4
TRIN,Markup,High,74,Clean,Bullish | Higher lows establishing from mid-March lows (~14.13) | Progressive markup from April through August | Recent consolidation near highs with renewed thrust,Bullish confirmation | High volume on Feb selloff absorbed near 14.13 (SC candidate) | Low volume consolidation May–June indicates no distribution | Breakout June 29 on elevated volume (1.87M) with strong result | Aug 4 surge on low volume suggests continued markup demand thin supply,Accumulation-supportive | Climactic volume Feb 23 (2.35M) at lows | Drying volume during base consolidation Mar–Apr | Volume expansion on upside breaks Apr 13–17 | Volume contraction on June consolidation | Renewed expansion June 29–30 on breakout | Aug 4 spike (318K partial day) anomalous but directionally bullish,Accumulation completed | Range: ~14.13–15.50 | Base built Feb–April | Distribution not evident at current levels,Accumulating and marking up | Evidence of absorption at lows | Controlled markup with orderly pullbacks | No sign of significant supply introduction yet,SC (Selling Climax): 2026-02-23 ~14.59 low on 2.35M volume | AR (Automatic Rally): 2026-02-25 to 15.44 | ST (Secondary Test): 2026-03-02 ~14.38 | LPS (Last Point of Support): 2026-03-16 ~14.13 | Spring candidate: 2026-03-16 break below range on 2.02M then recovery | SOS (Sign of Strength): 2026-04-13 to 04-17 accelerating closes | BU (Back-Up): 2026-04-21 to 04-24 pullback to ~15.60–15.84 | Markup acceleration: 2026-04-30 through 05-06 | Continuation base: 2026-05-07 to 06-26 ~16.49–17.29 | Breakout SOS: 2026-06-29 to 07-01 ~17.73–17.90 | Consolidation: 2026-07-06 to 07-31 ~17.26–17.93 | Renewed thrust: 2026-08-03 to 08-04 ~18.175,Multi-month accumulation base ~14.13–15.50 cleanly resolved to upside | Markup from ~14.13 to current ~18.18 represents ~28.7% advance | June 29 breakout on highest volume in weeks confirms institutional participation | July consolidation ~17.26–17.93 shows orderly retest of breakout level | Aug 4 close at 18.175 near session high signals continuation intent | Overall structure respects Wyckoff principles with minimal noise,Aug 4 volume (319K) appears partial day — confirm full session data | Price extended ~28% from base without significant retest of markup lows | July range shows some choppy action suggesting minor supply at highs | Watch for UTAD or distribution signs if volume expands on downside bars near 18.00+ | No confirmed Phase E exhaustion signals yet but monitor closely above 18.25,28,12,5,6,5
DBRG,Accumulation,High,74,Clean,Bullish | Feb–Mar: Consolidation/Re-accumulation range 15.33–15.47 | Apr breakout above range | May–Aug: Consistent higher lows and higher highs | Current level ~15.88 near multi-month highs,Mostly harmonious | High volume on Apr-08 breakout bar (spread expansion) confirmed effort=result | Jun-30 spike volume (11.3M) with modest close suggests minor supply absorption | Jul-24 high volume with strong close (15.90) confirms demand | Aug-04 moderate volume with upside follow-through,Constructive | Elevated volume on breakout bars and up-days | Volume declining on pullbacks (healthy) | Notable spikes: Feb-24 (6.9M test of lows — selling climax characteristic) | Apr-21 (9.2M markup thrust) | Jun-30 (11.3M absorption) | Jul-24 (7.2M demand surge),Prior Accumulation completed Feb–Mar | Re-accumulation confirmed Apr–May | Active Distribution NOT present | Net bias: Accumulation/Markup phase dominant,Accumulating/Marking Up | Feb-Mar range absorption of supply at 15.33–15.47 | Controlled markup with minimal retracement | Operator defending pullbacks with volume support | Systematic price appreciation without aggressive shakeouts,"Feb-24/25: Selling Climax candidate (high volume, range low ~15.35) | Feb-27/Mar-03: Automatic Rally + Secondary Test | Mar-18: Spring/Shakeout to 15.32 (range low, low volume follow-through) | Apr-08: Sign of Strength breakout (spread+volume) | Apr-09/10: Back-Up Action (BUA) | Apr-21: Strong markup thrust (9.2M vol) | Jun-30: Minor supply test (11.3M absorption) | Jul-24: Continuation thrust to new highs | Aug-04: Continuation with demand",Price advanced ~3.6% from accumulation lows (15.32) to current (15.88) | Range width in accumulation phase extremely tight (~0.15 spread) indicating controlled environment | Breakout in Apr was clean with volume expansion | Each subsequent pullback has held higher lows | Volume profile supports institutional accumulation then markup | Low-float/controlled instrument characteristics evident,Extremely tight price range throughout suggests low liquidity instrument — spread risk | Jun-30 volume anomaly (11.3M vs avg ~2.5M) needs monitoring for distribution | Price approaching potential resistance at 15.90–15.92 (Jul-24 high) | Markup pace slow/grinding — vulnerable to sudden reversal if volume dries up | Small absolute price moves make Wyckoff phase distinction less statistically robust | Insufficient data pre-Feb-2026 to confirm full accumulation base depth,27,9,6,6,6
RLJ,Distribution,High,74,Mixed,Bullish | Extended uptrend from ~7.21 (Apr 7) to ~12.57 (Aug 4) | Higher highs and higher lows dominant from late April onward | Minor consolidation zones present at 8.0–8.3 and 11.3–11.5 ranges,"Effort/Result divergence emerging at highs | Large volume on 2026-06-26 (6.13M, spike to 12.03) with reduced follow-through | May 1–8 surge: high volume with strong price results (positive harmony) | Jul 7–9 pullback on elevated volume suggesting supply emerging | Aug volume declining near highs (potential effort/result warning)",Accumulation base (Feb–Apr): moderate volume with selling climax signatures | Markup initiation (late Apr–May): expanding volume confirming demand | Jun–Jul advance: volume declining on up-days suggesting thinning demand | Jun 26 anomalous spike (6.13M) at new high = potential buying climax (BC) warning | Aug 3–4: low volume near highs = reduced participation,"Prior Accumulation: Feb 11–Apr 7 base (~7.21–8.41 range) | Classic re-accumulation: Apr 22–Apr 27 (7.85–8.05) | Current zone 12.25–12.57 showing early distribution characteristics | Net bias: Accumulation completed, distribution potentially initiating",CO absorbed supply in Feb–Apr base | Aggressively marked up through May–June | Jun 26 spike suggests CO may be distributing into public demand | Reduced volume on recent highs consistent with CO lightening positions,"PS (Preliminary Support): ~Feb 25 (7.88 low, vol 1.30M) | SC (Selling Climax): ~Apr 7 (7.15 low, vol 3.61M) | AR (Automatic Rally): ~Apr 9 (8.03 close) | ST (Secondary Test): ~Apr 22–23 (7.85–7.95 low) | SOS (Sign of Strength): May 4–8 (8.35→8.95, expanding volume) | LPS (Last Point of Support): Apr 27–29 (8.05–8.27) | JAC (Jump Across Creek): May 5 (8.77 close, vol 5.33M) | Potential BC (Buying Climax): Jun 26 (12.03 high, vol 6.13M) | Potential AR (Distribution): Jun 29–Jul 1 pullback to 11.69 | UTAD/UT (Upthrust): Jul 21–22 push to 12.46 on moderate volume",Full Wyckoff accumulation-to-markup cycle visible | ~66% price appreciation from SC low (7.15) to recent high (12.57) | Volume expansion confirmed markup through May | Jun 26 climactic volume at new high is most significant warning signal | Price consolidating 12.25–12.57 for ~3 weeks with declining volume | Narrowing price spread at highs with lower volume = classic distribution setup forming,Jun 26 buying climax volume (6.13M) not confirmed by sustained new highs | Volume declining significantly in Jul–Aug near price highs | Jul 7–10 showed increased volume on pullback (supply,27,10,3,6,7
SHO,Distribution,High,62,Clean,Bullish trend from ~8.86 low (Mar 2026) to ~12.07 high (Jun 2026) | Price now consolidating/declining from highs | Lower highs forming post 12.07 peak | Support being tested at 11.60–11.70 zone,"Effort-Result divergence at highs: high volume on Jun 18 (4.52M), Jun 23 (4.89M), Jun 26 (12.73M spike) with minimal upside progress — classic supply entering | Post-spike price failed to hold above 12.00 | Jul–Aug range shows reduced range on moderate volume",Climactic volume spike Jun 26 (12.73M) — likely Buying Climax (BC) or test thereof | Volume drying up on rallies Jul–Aug | Elevated volume on down days (Jun 29–Jul 8) suggests distribution | Recent low volume (Aug 4: 690K) on weakness — possible secondary test,Prior Accumulation: Feb–Apr 2026 base ~8.86–9.35 range confirmed | Current phase: Distribution characteristics emerging at 11.60–12.07 range | Preliminary Supply (PSY) ~12.01 | Buying Climax (BC) ~12.07 | Automatic Reaction (AR) ~11.05 Jul 8 | Secondary Test (ST) ~11.92 Jun 22 | Possible Sign of Weakness (SOW) developing,CO appears to have completed markup from accumulation | Now distributing into retail buying strength | Evidence of absorption failure above 12.00 | Testing demand at 11.60–11.70 support,PS (Preliminary Support) ~8.86 Mar 20 | SC (Selling Climax) ~8.88 Mar 20 | AR ~9.66 Feb 26 | Spring ~8.86 | SOS (Sign of Strength) Apr 8–10 breakout | LPS ~9.57 Apr 15 | Markup phase May–Jun | PSY ~12.01 Jun 17 | BC ~12.07 Jun 22 | AR ~11.05 Jul 8 | ST ~11.85 Jul 21 | Potential SOW Jul–Aug decline,"Accumulation base 8.86–9.66 well-defined Feb–Apr | Strong markup May–Jun (+36% from low) | Jun 26 volume anomaly (12.73M, 5–9x average) is critical Wyckoff event | Price unable to sustain above 12.00 post-climax | Jul–Aug consolidation 11.05–11.92 forming potential trading range | Aug 4 low volume drop to 11.62 warrants attention",Jun 26 climactic volume spike unconfirmed as pure BC — could be news-driven | Phase E markup still possible if 12.07 is exceeded on strong volume | Insufficient data to confirm full distribution structure — range too nascent | Low float/volume stock — single-session volume distortions possible | Aug 4 volume (690K) abnormally low — data integrity check advised,27,12,5,6,8
HOPE,Distribution,High,72,Clean,Bullish | Higher lows and higher highs from March lows (~10.51) to current (~14.35) | Strong impulsive legs with orderly pullbacks | Recent price action compressing near highs,Mixed | Strong effort-to-result during March–June markup | Recent high-volume days (2026-06-26: 3.56M | 2026-06-18: 2.45M) show some absorption | 2026-07-08 high-volume down bar signals supply entering,Accumulation-to-markup volume pattern confirmed | Climactic volume on 2026-03-20 (2.48M) — likely Spring/LPS | Expansion volume on breakout (2026-04-01: 2.66M) | Volume diminishing on recent highs suggesting effort weakening | 2026-08-04 low volume on up day — supply temporarily absorbed but thin,Prior Accumulation completed (Feb–Mar 2026 base ~10.51–12.50) | Now in Markup/potential early Distribution | No confirmed Distribution structure yet | Watching for UTAD or BC above 14.35,Actively marking up | Absorbed supply during June high-volume tests | Continuation buying evident through July | Possible early profit-taking on thin volume near 14.35 highs,"Preliminary Support: ~2026-02-27 (11.18 low, 1.30M vol) | Selling Climax: ~2026-03-09 to 03-12 (10.51–10.67 range, elevated vol) | Automatic Rally: ~2026-03-16 to 03-20 | Spring/LPS: 2026-03-20 (10.57 low, 2.48M — high effort, held range) | Sign of Strength: 2026-04-01 (11.26→11.82, 2.66M breakout) | Back-Up/LPS: 2026-04-13 to 04-16 (12.06–12.26 consolidation) | Markup acceleration: June–July 2026 | Minor resistance test: 2026-07-08 (13.0 low, 1.78M — supply bar)",Accumulation range: ~10.51–12.50 | Breakout confirmed April 2026 | Markup phase persistent with higher lows | 2026-06-26 spike volume (3.56M) at 13.59–13.65 — possible buying climax precursor | Price reached 14.48 on 2026-08-04 | Recent volume contraction on highs warrants caution | July consolidation (13.13–14.12) resolved upward — positive | Structure intact but extended from base,Volume declining on recent new highs (potential weakening demand) | 2026-06-26 climactic volume spike not followed by strong continuation — absorption signal | 2026-07-08 high-volume down day (1.78M) — supply testing | Price extended ~37% from accumulation lows — markup maturity risk | 2026-07-02 reversal bar (14.05→13.58 close) — minor distribution signal | No confirmed Distribution structure yet but monitor for UTAD above 14.48 | Thin volume on 2026-08-04 (477K),26,8,7,8,9
SHAK,Markup,High,62,Clean,Primary downtrend from ~107 (Mar peak) to ~52 (Jun low) | Secondary recovery rally building from Jun-Jul lows | Higher lows forming since late Jul | Potential re-accumulation range 52–65,"Feb 26 spike (4.4M vol, massive range, closed well off highs) = effort without result — bearish | May 7 collapse (14.6M vol) = climactic selling effort | Jun 2 secondary markdown (6.7M vol) = secondary test of selling | Jul–Aug rally on moderate vol = improving result per effort",Climactic volume May 7 (14.6M) signals Selling Climax (SC) | Volume contracting on reactions since Jun | Volume expansion on Jul 27–Aug 4 upside moves = demand re-entering | Volume drying up on pullbacks = positive absorption,Accumulation — potential base forming 52–66 range (Jun–Aug) after prolonged markdown,Likely absorbing supply in 52–66 range | Tested lows multiple times without new breakdown | Recent markup behavior (Jul 27–Aug 4) consistent with CO beginning markup phase,Preliminary Supply (PSY): ~Feb 26 spike to 107 | Buying Climax (BC): Mar 5 ~101 / Apr 17 ~106 zone | Automatic Reaction (AR): drop to ~81 Mar 27 | Sign of Weakness (SOW): May 7 collapse ~96→69 | Secondary Test (ST): May 11–15 lows 60–64 | Selling Climax (SC): May 7 ~67 intraday | Last Point of Supply (LPSY): Jun 1–5 failure ~62→52 | Spring candidate: Jun 5–8 lows ~51.6–52.3 | Back Up Action (BUA): Jun 9–16 rally to ~61 | Secondary Spring Test: Jun 22–25 ~53.6–54 | Sign of Strength (SOS): Jul 9–13 ~56→62 | Last Point of Support (LPS): Jul 20–24 ~54.3–57 | Markup initiation: Jul 27–Aug 4 ~58→66,"May 7 event (-27% single day, 14.6M vol) is definitive SC | Two-month base 52–66 shows consistent demand absorption | Volume on rallies expanding; volume on pullbacks contracting since Jun | Higher lows: Jun 5 ~51.6 → Jun 22 ~55.5 → Jul 20 ~56.0 → Jul 23 ~54.3 | Aug 4 close 66.24 tests top of trading range | No confirmed break above 66–67 resistance yet",May 7 gap-down suggests possible fundamental shock — exogenous events can invalidate pure Wyckoff structure | Feb 26 spike-and-reversal (4.4M vol) suggests distribution at higher levels — prior markdown context is bearish | Range top ~66–67 not yet decisively cleared | Moderate volume on Jul–Aug rally — not yet definitively bullish | Risk of LPSY and further markdown if 52 support fails | Short dataset history limits higher-timeframe context,26,13,6,6,10
