symbol,market_phase,phase_confidence,phase_confidence_score,structure_quality,trend_structure,effort_vs_result,volume_behavior,accumulation_distribution,volatility,structural_events,composite_operator,key_observations,caution_flags,research_score,structural_events_count,caution_flags_count,key_observations_count,rank
PBI,Markup,High,82,Mixed,Price advanced from a base near 10.00 through a sustained markup phase reaching 17.50+. Higher lows and higher highs dominate the latter half of the dataset with consistent directional progress.,"Early rally efforts showed mixed follow-through with shakeouts, but mid-to-late phase shows strong price results on elevated volume confirming markup. Pullbacks are shallow relative to advances.","Volume expanded meaningfully on key upside breakouts and climactic surges in April and June. Pullback volume is lighter, supporting bullish cause. Isolated spikes suggest absorption and institutional participation.",Early base between 9.80 and 10.90 reflects absorption and re-accumulation. Breakout above prior resistance in April confirmed distribution of supply at lower levels with demand now dominant.,Expanding,Spring near 9.80 | Sign of Strength rally from base | Shakeout on elevated volume | Breakout acceleration in April | Climactic volume surge on markup | Higher low sequence confirmed,Composite operator appears to have completed accumulation in the 10.00 to 10.90 range. Markup campaign is active with progressive price appreciation and controlled pullbacks suggesting continued sponsorship.,Base formed between 9.80 and 10.90 | Breakout accelerated sharply in April | Volume confirms institutional demand | Pullbacks shallow and well-supported | Price nearly doubled from lows,Climactic volume spikes may signal exhaustion | Extended markup risks overbought condition | Spread narrowing near recent highs | No clear SOW yet but watch for it | Mixed structure in early base reduces confidence,25,6,5,5,1
SHO,Markup,High,82,Mixed,Price advanced from lows near 8.72 to current highs near 11.85 in a sustained uptrend. Structure shows higher lows and higher highs with periodic consolidations absorbed by demand.,High-volume thrusts in late January and early February produced downside but were met with strong reversal effort. Subsequent markup phase shows price responding positively to moderate and rising volume confirming demand control.,Volume expanded on downside shakeouts in late January suggesting a climactic test. Markup phase volume supported price advance with notable surges on breakout days in May and June confirming institutional participation.,Evidence of accumulation in the 8.72 to 9.20 range following the January shakeout. Distribution signs are absent at current levels though price is extended and nearing potential supply zones.,Expanding,Selling Climax near 8.72 | Automatic Rally to 9.22 | Secondary Test of lows | Spring confirmed on high volume | Sign of Strength breakout above 9.80 | Markup acceleration through 10.00 and 11.00,Composite operator appears to have completed accumulation in the 8.72 to 9.20 range. Current behavior reflects active markup with demand dominating as price reaches new highs near 11.85.,Price nearly doubled off January lows | Volume climax confirmed shakeout near 8.72 | Clean markup structure with higher lows | Breakout above 10.00 on expanding volume | Current highs show no clear distribution yet,Price extended from accumulation base | Volatility expanding at highs warrants caution | Low volume days near highs may signal absorption | No clear consolidation at current levels | Potential for minor distribution forming,25,6,5,5,2
PEB,Markup,High,82,Mixed,Price advanced steadily from 11.30 to 19.38 over the full period with higher highs and higher lows. Several consolidation pauses occurred mid-trend before continuation resumed.,Volume expanded consistently on upside breakouts confirming effort aligned with result. Pullbacks showed reduced volume suggesting limited supply pressure.,Volume contracted during base-building phase and expanded on breakout attempts. Climactic volume surges near highs suggest potential exhaustion in the near term.,Early basing between 11.30 and 12.00 showed quiet accumulation characteristics. Subsequent markup confirmed absorption of supply and institutional sponsorship.,Expanding,Base consolidation near lows | Breakout with volume expansion | Secondary test of support | Mid-markup consolidation | Acceleration phase with widening spreads | Potential buying climax near highs,Composite operator appears to have absorbed supply quietly in the 11.30 to 12.00 range. Markup was orderly through mid-range then accelerated aggressively into the 18.00 to 19.00 zone.,Strong trend from 11.30 to 19.38 | Volume surges confirm institutional demand | Widening price spreads in late markup | Climactic action near recent highs | Pullbacks shallow with low volume,Potential buying climax near 19.38 | Expanding volatility may signal exhaustion | Reduced spread after volume surges | Extended move without major correction | Overbought conditions possible short term,25,6,5,5,3
RAMP,Accumulation,High,78,Mixed,"Price declined from ~30 to ~22 forming a selling climax, then built a base with higher lows through a multi-week trading range. A sharp gap-up markup event to ~37.7 confirmed absorption was complete.",Heavy volume on downside bars showed initial supply; climactic volume near lows with price stabilization indicated effort absorbed by demand. The markup gap on massive volume confirmed composite operator intent.,"Volume expanded on markdown and climax phases, dried up during base-building consolidation, then surged dramatically on the markup gap confirming institutional sponsorship.","Classic accumulation signature with selling climax, secondary test, spring-like lows, and sign of strength markup. Post-markup price stabilized in a narrow range with declining volume suggesting re-accumulation.",Mixed,Selling Climax near lows | Secondary Test consolidation | Spring below support | Sign of Strength markup gap | Post-markup narrow range consolidation | Volume dry-up in trading range,Composite operator absorbed supply during the extended base from ~22 to ~30. The explosive gap-up to ~37.7 with record volume marks a clear markup campaign initiation.,Sharp markdown from 30 to 22 precedes base | Climax volume confirms supply exhaustion | Gap-up markup gap on extreme volume | Post-gap range tight with declining volume | Higher lows built throughout accumulation base,Post-markup range may indicate distribution forming | Volume declining but price not advancing | Narrow range at highs risks stall | Gap-fill risk if support tested | Low volatility post-gap may signal absorption complete,25,6,5,5,4
GOF,Markdown,High,78,Mixed,"Price declined steadily from 13.07 to 10.81, forming a sequence of lower highs and lower lows. Periodic relief rallies failed to reclaim prior structure, confirming persistent downtrend.","High-volume sessions produced limited upside recovery, confirming supply dominance. Rallies on reduced volume failed to sustain gains, signaling weak demand response.","Volume elevated on down-legs and breakdown bars, confirming distribution pressure. Low-volume bounces indicate absence of committed buying interest.","No meaningful accumulation base has formed. Price drifted lower with brief consolidations that resolved to the downside, consistent with ongoing distribution and supply overhang.",Expanding,Supply climax attempt near 13.07 | Failed rally and lower high formation | Breakdown below 12.00 support | Selling acceleration into 11.00 zone | Brief stabilization near 10.60 lows | Continued lower highs in late relief attempt,Composite Operator shows consistent selling into strength. No signs of absorption or accumulation behavior; price behavior reflects controlled markdown with occasional short-covering relief.,Persistent lower highs and lower lows | High volume confirms breakdown bars | Relief rallies fail at resistance | Demand absent on bounce attempts | Price approaching multi-month lows,No confirmed accumulation base yet | Late-stage markdown may spark sharp reversal | Volume spikes lack follow-through buying | Stabilization zones remain fragile | Oversold conditions could trigger short squeeze,25,6,5,5,5
AHCO,Distribution,High,78,Mixed,Price advanced from deep lows near 9.60 to a peak above 13.40 then reversed sharply. The subsequent decline has produced a series of lower highs and lower lows consistent with a post-distribution markdown developing.,Largest volume spikes coincide with failed breakouts and sharp reversals rather than sustained advances. Effort on the drop from 13.40 and the climactic collapse on high volume confirm supply dominance.,"Volume expanded dramatically on key down days and on the initial breakdown from peak. Rally attempts into the 10.00 to 10.50 zone carry diminishing volume, indicating weak demand absorption.",The structure shows a completed accumulation and markup phase culminating near 13.40. The subsequent pattern reflects active distribution with supply overwhelming demand on each bounce.,Mixed,Selling Climax near lows | Markup phase initiation | Upthrust at peak zone | High-volume breakdown from top | Weak rally attempts post-breakdown | Secondary test of breakdown level,The composite operator appears to have completed distribution near the 13.00 to 13.40 zone. Current behavior suggests professional supply is being absorbed by weak hands on each minor bounce.,Sharp volume spike confirmed distribution top | Post-peak rallies show weak volume | Price failing below prior markup base | Lower highs forming on each bounce | Supply dominating each recovery attempt,No confirmed selling climax in markdown yet | Bounces could extend to prior base zone | Volume not yet capitulatory on recent lows | Structure could retest 10.40 resistance | Phase confirmation requires further price action,25,6,5,5,6
DX,Markdown,High,74,Mixed,Price peaked near 14.93 and declined in a persistent staircase pattern with lower highs and lower lows. Partial recovery attempts formed but failed to reclaim prior structure highs.,High volume on breakdown bars yielded significant price drops confirming supply dominance. Low volume rallies produced minimal upside progress indicating weak demand.,Volume surged on down moves especially during the March collapse and late May distribution. Rally volume remained subdued and insufficient to absorb overhead supply.,Distribution is evident from the January peak onward with supply consistently overpowering demand. Late April and May recovery attempts appear corrective not accumulative.,Mixed,Peak and Potential UTAD near 14.93 | Sharp Markdown Climax mid-March | High Volume Selling Climax on March 20 | Automatic Rally attempt late March to April | Secondary Test failure in May | Lower High confirmed June,Composite operator appears to have distributed heavily between late January and early March. Current behavior suggests continued supply pressure with controlled selling into minor rallies.,Price failed to recover above 14.00 | March volume spike signals climactic selling | May rally stalled below prior highs | June shows renewed selling pressure | Overall trend structure remains bearish,Late April bounce may attract premature buyers | Volume drying up could signal temporary base | Structure not yet showing clear accumulation | Minor higher lows in June unconfirmed | Phase transition risk if 13.30 holds,25,6,5,5,7
DBRG,Accumulation,Medium,62,Mixed,Price gapped sharply higher on massive volume in late December and then entered a prolonged tight lateral range near 15.35 to 15.47. Slow stepwise drift higher from April onward suggests controlled absorption with modest upward bias.,"The climactic gap on extreme volume produced minimal subsequent range expansion, indicating supply absorption. Later low-volume upside progress reflects little selling resistance and improving effort-to-result ratio.",Volume contracted significantly after the gap event and remained persistently low throughout the extended trading range. Occasional volume spikes on sideways price action suggest testing and reaccumulation activity.,Extended tight range following a price gap suggests institutional absorption of supply. Gradual price lift with low volume from April onward is consistent with a cause being built for a potential markup phase.,Contracting,Climactic gap and volume surge | Extended trading range formation | Low-volume range compression | Minor upthrust tests near range highs | Gradual drift into higher price territory | Volume contraction confirming reduced supply,Composite operator behavior suggests quiet accumulation within a defined range after an aggressive entry. Controlled price action and shrinking volume imply absorption is ongoing with limited distribution activity.,Massive volume gap signals institutional entry | Tight range follows climactic volume event | Volume contracts sharply post-gap | Slow grind higher on reduced volume | Price holds above gap level consistently,Gap origin may signal merger or corporate event | Fundamental event could distort Wyckoff read | Low float-like volume limits pattern reliability | No clear spring or shakeout observed | Markup not yet confirmed by volume expansion,21,6,5,5,8
WERN,Distribution,Medium,62,Mixed,Price advanced sharply from late December lows into a peak near mid-February then collapsed. A secondary rally attempt reached new highs in late May through mid-June but is now showing topping signs with waning momentum and increased spread.,"Large volume surges near highs failed to sustain price advances. The February climax high saw heavy supply absorb demand, and recent June highs show narrowing gains on rising volume suggesting effort not rewarded.",Volume expanded on upthrusts and climactic moves near highs. Selling volume dominates pullbacks from peaks. Recent rally volume is declining as price struggles to hold gains near upper range.,Early December to January base shows accumulation characteristics with tight range and expanding upside breakout. The mid-February peak and sharp break suggest distribution began there. The current zone near 42 to 44 shows renewed distribution signs.,Mixed,Preliminary Supply near Feb high | Buying Climax at Feb peak | Automatic Reaction from Feb high | Sign of Weakness on sharp markdown | Secondary Test of lows in March | Upthrust After Distribution near June highs,The composite operator appears to have distributed heavily near the February climax and is again supplying stock into the secondary rally peak near June highs. Absorption of demand at upper levels suggests professional selling into strength.,Climax high failed to hold in February | Sharp markdown confirmed supply dominance | March lows tested successfully then rallied | June highs show upthrust characteristics | Volume divergence at recent peak,No confirmed sign of re-accumulation yet | Upthrust near June high unconfirmed | Mixed structure reduces phase clarity | Rally from March lows may still extend | Volume pattern incomplete near highs,21,6,5,5,9
TH,Markup,Medium,62,Mixed,"Price broke from a multi-month base near 6.90-8.50 with a series of impulsive legs higher. Higher lows are forming on pullbacks, supporting an ongoing markup structure despite periodic volatile shakeouts.","Large volume surges on breakout days produced strong price gains, confirming effort-result harmony. Some high-volume reversals and wide-spread down days suggest periodic supply entering at resistance zones.","Volume expanded dramatically on key breakout thrusts, notably in late March, early April, and mid-May. Pullback volume remains elevated but generally lighter than thrust days, supporting bullish bias.",Early phase shows characteristics of a completed accumulation base between approximately 6.70 and 8.50. The structure has since transitioned into active markup with distribution signs emerging at recent highs.,Expanding,Spring near 6.70-6.92 | Sign of Strength thrust late March | Breakaway gap early April | Climactic buying mid-May | High-volume reversal late May | Secondary test ongoing at highs,Composite operator appears to have completed accumulation in the 6.70-8.50 range and is now distributing into strength at elevated levels. Recent wide-spread reversals on high volume suggest supply being absorbed or distributed.,Strong breakout from base in April | Climactic volume spikes signal caution | Pullbacks finding support above prior resistance | Recent high-volume down days suggest supply | Price still in uptrend above key levels,Climactic volume at May highs is warning | Wide-spread reversals suggest distribution risk | Elevated volume on down days post-peak | Price extended far above accumulation base | Mixed structure reduces phase certainty,21,6,5,5,10
